id;AugPool;Desc;Lv1;Lv2;Lv3;Lv1%;Lv2%;Lv3%;Cost
69;4;Defense+;1;0;0;8.0;0.0;0.0;1
73;4;Defense+;5;6;7;2.4;4.0;1.6;5
74;4;Defense+;8;9;10;2.4;4.0;1.6;7
75;4;Defense+;12;13;14;1.2;2.0;0.8;10
76;4;Defense+;16;18;20;1.2;2.0;0.8;14
59;4;Defense-;-6;0;0;4.0;0.0;0.0;-3
60;4;Defense-;-12;0;0;4.0;0.0;0.0;-5
94;4;Fire res+;1;2;0;0.6;2.4;0.0;2
89;4;Fire res-;-1;-2;0;0.4;1.4;0.0;-2
90;4;Fire res-;-3;0;0;1.2;0.0;0.0;-3
104;4;Water res+;1;2;0;0.6;2.4;0.0;2
99;4;Water res-;-1;-2;0;0.4;1.4;0.0;-2
100;4;Water res-;-3;0;0;1.2;0.0;0.0;-3
114;4;Thunder res+;1;2;0;0.6;2.4;0.0;2
109;4;Thunder res-;-1;-2;0;0.4;1.4;0.0;-2
110;4;Thunder res-;-3;0;0;1.2;0.0;0.0;-3
124;4;Ice res+;1;2;0;0.6;2.4;0.0;2
119;4;Ice res-;-1;-2;0;0.4;1.4;0.0;-2
120;4;Ice res-;-3;0;0;1.2;0.0;0.0;-3
134;4;Dragon res+;1;2;0;0.6;2.4;0.0;2
129;4;Dragon res-;-1;-2;0;0.4;1.4;0.0;-2
130;4;Dragon res-;-3;0;0;1.2;0.0;0.0;-3
144;4;Skill+;1;0;0;6.0;0.0;0.0;3
145;4;Skill+;1;0;0;4.0;0.0;0.0;6
146;4;Skill+;1;0;0;3.6;0.0;0.0;9
147;4;Skill+;1;0;0;2.8;0.0;0.0;12
148;4;Skill+;1;0;0;1.6;0.0;0.0;15
149;4;Skill-;-1;0;0;2.0;0.0;0.0;-10
139;4;Slot+;1;0;0;7.0;0.0;0.0;6
140;4;Slot+;2;0;0;2.5;0.0;0.0;12
141;4;Slot+;3;0;0;0.5;0.0;0.0;18
